class,train-count,test-count,500-before-accuracy,500-after-accuracy,500-before-anti-count,500-after-anti-count,500-before-fmeasure,500-after-fmeasure,500-before-gmean,500-after-gmean,600-before-accuracy,600-after-accuracy,600-before-anti-count,600-after-anti-count,600-before-fmeasure,600-after-fmeasure,600-before-gmean,600-after-gmean
summary,5000,5000,0.9527995591668714,0.959796057077906,430,464,0.8924372130223905,0.8964160193711903,0.9864489546850106,0.9906260408218319,0.967502316805931,0.9580978127304006,537,574,0.9053403117536933,0.8991513564411387,0.9855099372858172,0.989414222235341
smurf.,2637,2637,0.9998103905953735,0.9998103905953735,20,20,0.9985814254273405,0.9983928909056532,0.9984268303795597,0.9982041003500906,0.9998103905953735,0.9998103905953735,25,25,0.9999051773184147,0.997069103259727,0.9999051863080506,0.9967264677771408
normal.,983,983,0.7930835380327353,0.8144250014473695,20,20,0.8717437779763879,0.8925076221737998,0.8876611662000647,0.9011992511959166,0.8896845975072162,0.8093519713172717,25,25,0.9183698538079342,0.8883900197523528,0.937681379421017,0.8982355401646783
neptune.,934,934,0.9967880085653105,0.9951820128479657,20,20,0.9983911329460091,0.9975845396716609,0.9983925686129274,0.9975877730406872,0.9957173447537473,0.9946466809421841,25,25,0.9978537888239873,0.9973158678425063,0.9978562305967786,0.9973196041487598
snmpgetattack.,125,125,0.8,0.9199999999999999,20,26,0.5387075718015666,0.6515151515151516,0.8808671120661555,0.9470783611815391,0.632,0.9039999999999999,25,31,0.588619014573213,0.6595552372181861,0.789689620592442,0.9403124452712612
mailbomb.,74,74,1.0,1.0,20,22,0.9899776286353468,0.9805194805194806,0.9998478158149746,0.9996958945486544,0.9864864864864865,1.0,25,27,0.9605263157894737,0.9368589743589744,0.992693301538998,0.9989841083029142
guess_passwd.,65,65,0.976923076923077,0.976923076923077,20,25,0.9202521670606777,0.9006036217303823,0.9873714524588082,0.9870734114080306,0.9615384615384616,0.9615384615384616,25,30,0.9002331002331003,0.8257529463116543,0.9794306192196152,0.9781159717095607
snmpguess.,34,34,1.0,1.0,20,20,0.9716268626250255,0.8269230769230769,0.9997987670794237,0.9981814447729815,1.0,1.0,25,25,0.9855072463768115,0.9286510590858417,0.9998993100137967,0.9994467074339687
satan.,33,33,0.9255793226381461,0.9407308377896613,20,22,0.9119619294830197,0.9072079536039769,0.9617049226291181,0.9693608223008661,1.0,0.9407308377896613,25,29,0.9447535771065183,0.9011437908496732,0.9995975038996701,0.9693127981638676
mscan.,21,21,1.0,1.0,20,24,0.9555335968379446,0.9555335968379446,0.9997991156528674,0.9997991156528674,1.0,1.0,25,29,0.9680851063829787,0.9564571994062345,0.9998495561873572,0.999799261966036
warezmaster.,21,21,1.0,1.0,20,22,0.691497975708502,0.7754901960784314,0.9980907244077333,0.9985440100781668,1.0,1.0,25,29,0.7075393537696768,0.6723872950819673,0.9980912702476027,0.9979394565833566
back.,18,18,1.0,1.0,20,20,1.0,1.0,1.0,1.0,1.0,1.0,25,25,1.0,1.0,1.0,1.0
apache2.,16,16,1.0,1.0,20,22,0.9428104575163399,0.9428104575163399,0.9997993172234692,0.9997993172234692,1.0,1.0,25,26,0.9428104575163399,0.9428104575163399,0.9997993172234692,0.9997993172234692
saint.,12,12,1.0,1.0,20,20,0.89272030651341,0.909814323607427,0.9996992022004509,0.9997494156090765,1.0,1.0,25,25,1.0,0.909814323607427,1.0,0.9997494156090765
processtable.,7,7,1.0,1.0,20,21,0.9705882352941176,0.9444444444444444,0.99994999749975,0.9998999899979994,1.0,1.0,25,27,0.9666666666666667,0.9666666666666667,0.9999498470333259,0.9999498470333259
ipsweep.,4,4,1.0,1.0,20,20,0.6538461538461539,0.7,0.999097019429618,0.9993981943656641,1.0,1.0,25,25,0.7857142857142858,0.8076923076923077,0.9996991877798511,0.9997493357239564
portsweep.,3,3,1.0,1.0,20,21,0.8333333333333333,0.8333333333333333,0.9998001199200559,0.9998001199200559,1.0,1.0,25,26,0.7777777777777778,0.7777777777777778,0.9997996841380457,0.9997996841380457
httptunnel.,3,3,1.0,1.0,20,21,1.0,1.0,1.0,1.0,1.0,1.0,25,25,1.0,1.0,1.0,1.0
pod.,1,1,1.0,1.0,20,20,1.0,1.0,1.0,1.0,1.0,1.0,25,25,1.0,1.0,1.0,1.0
sendmail.,1,1,1.0,1.0,20,21,0.8333333333333333,0.8333333333333333,0.9999001098781362,0.9999001098781362,1.0,1.0,25,26,0.75,0.75,0.999899809637307,0.999899809637307
ps.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,13,0.5,0.5,0.5,0.5
phf.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,13,0.5,0.5,0.5,0.5
nmap.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,13,0.5,0.5,0.5,0.5
land.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,13,0.5,0.5,0.5,0.5
xterm.,0,0,0.5,0.5,10,10,0.2,0.2,0.49985018726255476,0.49985018726255476,0.5,0.5,12,13,0.3333333333333333,0.5,0.4999500674088733,0.5
